guild_name,chatgpt
(confraternita),Religious or professional brotherhood
(monte degli officiali),Monte of the Officials (financial institution)
(monte ministrie officiali) banco s. giacomo,Monte of Ministers and Officials at the Bank of San Giacomo
accademici delle scienze,Academicians of sciences
accannatori di legna,Wood collectors
accimatori,Ragpickers or refiners
"aceto, venditori",Vinegar sellers
acorari,"Manufacturers of metal rings, hoops, or chains"
acquaroli,Water sellers or water-related workers
acquavita,Distilled spirits or alcohol (e.g. brandy or grappa)
acquavitai,Distillers or sellers of spirits
acquavitai e tabaccai,Distillers and tobacconists
acquavitari,Another term for distillers
affittatori di calessi e mantici,Renters of carriages and bellows
agogiotti,Guides or muleteers
agricoltori,Farmers or agricultural workers
agrimensori,Land surveyors
aguggiari,Needlemakers
albergatori,Innkeepers or hoteliers
ammolatori da grosso e sottile,Grinders of coarse and fine tools
apparatori di panni,Cloth finishers
archibugiari,Gunmakers or gunsmiths
archibugieri,Gunsmiths or firearm specialists
"architetti, capomastri, fabricatori, pipernieri e tagliamonti","Architects, master builders, manufacturers, piperno stone workers, and stonecutters"
argenteri,Silversmiths
argentieri e orefici,Silversmiths and goldsmiths
armaioli,Weapons makers or armorers
armaroli,Armorers or weapon merchants
aromatari,Apothecaries or spice merchants
aromatariis,Apothecaries or perfumers
arrotini o moletti,Knife grinders or sharpeners
ars calcolariorum,Guild of lime and plaster makers
ars camagnaiolorum et funariorum,Guild of bell-makers and rope-makers
ars fabbrorum,Guild of blacksmiths
ars iudicum et notariorum,Guild of judges and notaries
ars lanaiolorum,Guild of wool workers
ars lignaminis et mulatteriorum,Guild of woodworkers and muleteers
ars macellariorum,Guild of butchers
ars mercatorum,Guild of merchants
ars merciantium,Guild of merchants
ars molendinariorum et macinariorum,Guild of millers and grinders
"ars muratorum, petraiolorum et calcinariorum","Guild of masons, stoneworkers, and lime makers"
"ars piccicaiolorum, salaiolorum et oliariorum","Guild of pitch-makers, salt merchants, and oil traders"
ars procacciantum et barberiorum,Guild of messengers and barbers
ars raxellariorum et tegulariorum,Guild of tile makers and roofers
ars sartorum et pilippariorum,Guild of tailors and felt makers
ars tabernariorum et albegatorium,Guild of innkeepers and hoteliers
arte bianca,White art (guild of bakers)
arte de' cappellari da capelli di legno,Guild of wooden hat makers
arte dei tessari,Guild of weavers
arte dei torronari e copetari,Guild of nougat and confectionery makers
arte del cambio,Guild of money changers and bankers
arte del macello,Guild of butchers
arte dell'opera bianca,Guild of fine fabric artisans
arte della canapa,Guild of hemp workers
arte della giudecca,Guild of Jewish merchants or artisans
arte della lana,Guild of wool workers
arte della lana e del panno,Guild of wool and cloth makers
arte della lana gentile,Guild of fine wool workers
arte della pietra,Guild of stoneworkers and stonemasons
arte della seta,Guild of silk workers
arte della seta o di por santa maria,Guild of silk workers of Por Santa Maria
"arte della seta, oro e argento","Guild of silk, gold, and silver artisans"
arte della zabatteria,Guild of cobblers and shoemakers
arte delle berrette e della agucchieria,Guild of cap makers and needle makers
arte delle lana,Guild of wool workers
arte di calimala o dei mercanti,Guild of cloth merchants of Calimala
arte grossa della lana,Guild of large-scale wool production
arte mastra di ferraia,Guild of master ironworkers
arte seta,Guild of silk workers
"artebianca, orzaroli e nevaroli","Guild of bakers, barley merchants, and ice dealers"
arti marittime,Guild of maritime workers and sailors
artigiani,Guild of artisans and craftsmen
artigiani e messori,Guild of artisans and reapers
artis lanae,Guild of wool workers
artisti,Guild of artists
asinari,Guild of donkey handlers and transporters
attuari e scrivani,Guild of actuaries and scribes
avvantaggiati delle galere,Privileged workers or traders of the galleys
azimatori di panni,Cloth refiners or finishers
azzimatori,Cloth finishers or textile refiners
baker (panettieri),Guild of bread bakers
bakers (fornari),Guild of oven bakers
bakers (panitteri),Guild of bread makers
bambaciari,Guild of cotton merchants and cotton workers
bambaciari di opere bianche,Guild of white cotton workers
bambacignari,Guild of cotton carders
bambacioli,Guild of cotton weavers
bancalari,Guild of bench makers or furniture makers
banchieri,Guild of bankers
banco dei poveri,Bank of the Poor
banco spirito santo,Holy Spirit Bank
banco ss. annunziata (monte ministri) banco ss. annunziata,Bank of the Most Holy Annunciation (Monte Ministri)
"banco, officiali di s. matteo","Bank of St. Matthew, officials"
bankers (bancheri),Guild of bankers
barbers (barberi),Guild of barbers
barbers (barbieri),Guild of barbers
barbieri,Barbers
barbieri e parrucchieri,Barbers and hairdressers
barbieri e pelucchieri,Barbers and wig makers
"barbieri, mercanti, speziari, apotecari, laici e pellicciia","Barbers, merchants, spice traders, apothecaries, laypeople, and furriers"
"barbieri, speziali, chirurghi, flebotomisti","Barbers, apothecaries, surgeons, and bloodletters"
barcaioli,Boatmen or ferrymen
barcaroli,Boatmen or gondoliers
barcaroli di este,Boatmen of Este
barcaroli di monselice,Boatmen of Monselice
