id,name
1,(confraternita)
2,(monte degli officiali)
3,(monte ministrie officiali) banco s. giacomo
4,accademici delle scienze
5,accannatori di legna
6,accimatori
7,"aceto, venditori"
8,acorari
9,acquaroli
10,acquavita
11,acquavitai
12,acquavitai e tabaccai
13,acquavitari
14,affittatori di calessi e mantici
15,agogiotti
16,agricoltori
17,agrimensori
18,aguggiari
19,albergatori
20,ammolatori da grosso e sottile
21,apparatori di panni
22,archibugiari
23,archibugieri
24,"architetti, capomastri, fabricatori, pipernieri e tagliamonti"
25,argenteri
26,argentieri e orefici
27,armaioli
28,armaroli
29,aromatari
30,aromatariis
31,arrotini o moletti
32,ars calcolariorum
33,ars camagnaiolorum et funariorum
34,ars fabbrorum
35,ars iudicum et notariorum
36,ars lanaiolorum
37,ars lignaminis et mulatteriorum
38,ars macellariorum
39,ars mercatorum
40,ars merciantium
41,ars molendinariorum et macinariorum
42,"ars muratorum, petraiolorum et calcinariorum"
43,"ars piccicaiolorum, salaiolorum et oliariorum"
44,ars procacciantum et barberiorum
45,ars raxellariorum et tegulariorum
46,ars sartorum et pilippariorum
47,ars tabernariorum et albegatorium
48,arte bianca
49,arte de' cappellari da capelli di legno
50,arte dei tessari
51,arte dei torronari e copetari
52,arte del cambio
53,arte del macello
54,arte dell'opera bianca
55,arte della canapa
56,arte della giudecca
57,arte della lana
58,arte della lana e del panno
59,arte della lana gentile
60,arte della pietra
61,arte della seta
62,arte della seta o di por santa maria
63,"arte della seta, oro e argento"
64,arte della zabatteria
65,arte delle berrette e della agucchieria
66,arte delle lana
67,arte di calimala o dei mercanti
68,arte grossa della lana
69,arte mastra di ferraia
70,arte seta
71,"artebianca, orzaroli e nevaroli"
72,arti marittime
73,artigiani
74,artigiani e messori
75,artis lanae
76,artisti
77,asinari
78,attuari e scrivani
79,avvantaggiati delle galere
80,azimatori di panni
81,azzimatori
82,baker (panettieri)
83,bakers (fornari)
84,bakers (panitteri)
85,bambaciari
86,bambaciari di opere bianche
87,bambacignari
88,bambacioli
89,bancalari
90,banchieri
91,banco dei poveri
92,banco spirito santo
93,banco ss. annunziata (monte ministri) banco ss. annunziata
94,"banco, officiali di s. matteo"
95,bankers (bancheri)
96,barbers (barberi)
97,barbers (barbieri)
98,barbieri
99,barbieri e parrucchieri
100,barbieri e pelucchieri
101,"barbieri, mercanti, speziari, apotecari, laici e pellicciia"
102,"barbieri, speziali, chirurghi, flebotomisti"
103,barcaioli
104,barcaroli
105,barcaroli di este
106,barcaroli di monselice
107,barcaroli e pescatori
108,baretari
109,barilai
110,barilari
111,barilleri
112,bastari
113,bastaroli
114,bastasi del fontego dei turchi
115,bastasi della dogana da mar
116,bastasi della dogana da terra
117,bastieri
118,"bastieri, sellai e brillari"
119,bastioneri
120,battifoglie d'oro e d'argento
121,"battifoglie d'oro, argento e rame"
122,battilana
123,battiloro
124,battioro alemanni
125,battioro e stagneri
126,battitori d'oro e d'argento
127,battitori d'oro e indoratori
128,battitori di argento
129,battitori di bombace
130,battitori di oro e argento
131,baugliari
132,bavellini
133,beccai
134,beccari
135,becchini
136,belt makers (cinturinarii)
137,berrettai
138,berrettieri
139,bettolieri
140,biancheggiatori di tele
141,biavaroli
142,bisilieri e pannilini
143,blacksmiths (fabbri)
144,blacksmiths (ferrai)
145,blacksmiths (ferrari d’opera grossa)
146,blacksmiths (ferrari)
147,"blacksmiths (ferrari, ferrali dell'opera grossa, scopitteri, cortilleri)"
148,blacksmiths (li ferrali)
149,blacksmiths and silversmiths (fabbri ferrai e argentieri)
150,"blacksmiths, cart makers (fabbri di opera grossa)"
151,blanket makers (cutrari)
152,boat carpenters (calafati)
153,boat carpenters (li calafati)
154,boccalari
155,boccalari e maiolari
156,boccaleri
157,bollatori
158,bolzeri
159,bombaciari
160,"bombacignari, rivenditori ed opera bianca"
161,bombasari
162,bombaseri
163,borozieri
164,borsai
165,bossoleri
166,bottai
167,bottari
168,bottari e mastellari
169,"bottazzeri, tornitori e fuseri"
170,bottegari di piu' esercizi
171,bottegari e fruttaioli
172,bottegari e pizzicaroli
173,bottegari lordi e fruttaroli
174,"bottegari lordi, casolii, salsumari e pizzicagnoli"
175,botteri
176,bottonai
177,bovai
178,bovari
179,bracciali
180,brendaiuoli e farraioli
181,brentai
182,brentaroli o zerlotti
183,brentatori
184,brentori
185,bronze-founder (lavoratori di stagno e rame)
186,buccieri
187,burchieri
188,burchieri da frumento
189,burchieri da legna
190,burchieri da rovinassi
191,burchieri di badia polesine
192,burchieri di pescantina
193,burchieri di verona
194,bussolari  vetrai
195,butchers (buccheri)
196,butchers (li carnizzeri)
197,button makers (bottonari)
198,cacciaiuoli
199,caffettieri
200,cajonzari
201,"cake and pasta makers (pastizari, vermicellari, maccaronari)"
202,cake makers (confettieri)
203,cake makers (cubaitara)
204,cake makers (cubatari)
205,calafati
206,calceolariis
207,calcinari
208,calcineri
209,calderai
210,calderari
211,caldereri
212,calegari
213,"calegari, conciatori e pellattieri"
214,calegheri e zavatteri
215,callegari
216,callegheri
217,calzaiuoli
218,calzettai
219,calzettai in seta
220,calzettari
221,calzettari d'opera bianca
222,calzettari di opera vecchia
223,calzettari di seta
224,calzettieri
225,calzolai
226,calzolai dell'opera vecchia e pianellai
227,calzolai e callegari
228,calzolai e conciatori
229,calzolai e confettori
230,calzolai lavoranti e garzoni
231,"calzolai, conciatori e sellai"
232,calzolari
233,calzolari e conciatori
234,calzolari e pianellari (confraternita)
235,calzolari e sartori
236,calzolari et callegari
237,camalii da olio
238,camalli
239,camalli da vino
240,camalli della caravana
241,camalli della grassia
242,cambiatori
243,canavazzeri
244,candelari
245,candelieri di sevo
246,candelottari
247,"canepari, funari e linaroli"
248,canestreri e cesteri
249,cantori o musici
250,capoteri
251,cappellai
252,cappellai lavoranti
253,cappellari
254,caprettari
255,carbonai
256,carbonari
257,carboneri
258,cardatori
259,carpenter (falegnami)
260,carpenter (mastri d'ascia)
261,carpenters (carpinteri)
262,carpenters (falegnami di opera bianca)
263,carpenters (falegnami)
264,carpenters (li mastri d'axia)
265,carpenters (li mastrurascia)
266,carpenters (mastri d'ascia)
267,carpenters (mastri di noci)
268,carpenters (mastri d’ascia)
269,carpenters and coopers (falegnami e bottai)
270,carpenters and turner (fabbri lignari e tornatoli)
271,"carpenters, case (casciari)"
272,carpentieri
273,carradori
274,carrattori
275,carrettieri
276,carrettieri di borgo e trastevere
277,carrozzieri
278,cart maker (carrozzieri)
279,cart makers (carrozzieri)
280,cart-makers (artefici di carri)
281,cartai
282,cartai e librai
283,cartari
284,cartari (fabbricanti di carta)
285,cartari di carte da gioco
286,cartari e librari
287,cartolai
288,carvers (intagliatori)
289,"carvers, stone cutters and masons (intagliatori, pirriatori, muratori)"
290,carzatori
291,casadogli e salumari
292,casaroli
293,casolini
294,cassari
295,casselleri
296,castagnari
297,castagnari e fruttaroli
298,cavalieri e dottori
299,"cavalieri, dottori e studenti"
300,cavallanti
301,cavallari
302,cazarolii
303,censari
304,centrangolari
305,centrellari e chiavaroli di bauli
306,centureri
307,ceraioli
308,"ceraioli e pizzicaioli, poi dei ceraioli"
309,ceramisti
310,cerbottalai
311,cereri
312,cestari e cavagnari
313,cesteri
314,cetrangolari e pizzicaroli
315,chappuzzi
316,"chiappuzzi, calderari, sedassari e brustiari"
317,"chiavaiuoli, ferraiuoli, calderari"
318,chiavettieri e spatari
319,chiavoneri
320,chincaglieri
321,chiodaroli
322,chirurghi e barbieri
323,ciabattini
324,cimadori o sopressadori da panni
325,cimatori
326,cimatori di panni
327,cimatori e garzatori
328,cintaderi e fresettari
329,cioccolattieri
330,cloth makers (panneri)
331,coach decorators (carrozzieri di opera gentile)
332,coachmen (cocchieri)
333,cocchieri
334,cocineri e pastizari
335,coirari
336,coirari (arte grossa)
337,coirari (monte di maritaggio)
338,coirari dell'arte piccola alla zabatteria
339,coltellai
340,"coltrari, telaioli e materazzari"
341,coltreri
342,compagnia del soldo
343,"compagnia delle tre arti: spadari, sellari, guainari"
344,compagnia di s. bartolomeo in silice
345,compagnia di san bartolomeo in silice
346,complateari
347,compravendi pesce
348,concia calzette dell'opera vecchia
349,concia calzoni vecchi
350,conciacurame
351,conciai
352,conciapelli
353,conciatori
354,conciatori e crivellatori di biade
355,conciatori e minadori di pelli
356,conciatori e pellicciai
357,conciatori ingrassatori
358,concubinati (confraternita)
359,"confectioners (confitteri e zuccarari, aromatari)"
360,confettieri
361,confettori
362,confetturieri
363,congregazione dei musici
364,congregazione dei ss. anna e luca dei pittori
365,congregazione dell'arte della seta ai barrettari
366,contadini
367,cooks (cucineri)
368,coopers (bottai)
369,coopers (buttari)
370,coopers (mastri bottali)
371,coral workers (corallai)
372,corallari
373,corallieri
374,corazzai e spadai
375,cordai
376,cordari di leuto
377,cordovani
378,coroneri
379,"correggiai, tavolacciai e scudai"
380,correggiari
381,corrieri
382,cortelleri e spaderi
383,cortellini
384,"cortigiani (maggiordomi, camerieri, ecc.)"
385,cortigiani (monte)
386,cositori (monte)
387,cositori (sartori)
388,cottiatori di pesce
389,credenzieri
390,crivellonzi
391,crockery makers (li scutellari)
392,cultrari
393,cuochi
394,cuochi e pasticceri
395,cuoi d'oro
396,cuoiai
397,"cuoiai, galigai e pezzai"
398,cutlers (cutilleri)
399,cutlers and gunmakers (coltellieri e scopettieri)
400,decorators (frinzari)
401,decorators (guarnamentari)
402,decorators for processions (paratori)
403,delifichoti (?)
404,depentori
405,di seta e oro
406,diamanteri da duro
407,diamanteri da tenero
408,disegnadori
409,disegnadori di stoffe
410,disegnatori di armature e coltelli
411,distillatori di acquavite
412,distillatori e venditori di acquavite
413,doctors and pharmacists (medici e speziali)
414,doganieri
415,doratori
416,doratori di ferro e lustratori di pietra
417,dottori e ministri
418,drappieri
419,drappieri e revedini
420,drappieri strazzaroli
421,droghieri
422,droghieri e speziali
423,"droghieri, speziali e manuali"
424,dyers (tintori)
425,ebanisti (scrittorari di ebano)
426,embroiderers (frinzari gallonari e passamanari)
427,embroiderers (imburditori)
428,embroiderers (passamanara)
429,embroiderers (racamaturi e passamanari)
430,embroiderers (riccamatori)
431,embroiderers and silk weavers (imborditori e sitalori)
432,erbaroli
433,fabbri
434,fabbri di borgo pascolle
435,fabbri e affini
436,fabbri e orefici
437,fabbri ferrai
438,fabbri ferrariis sive manischalchi
439,fabbricanti di armature
440,fabbricanti di carte da gioco
441,fabbricanti di giubboni
442,fabbricatori di calze
443,fabbricatori di cappelli
444,fabbricatori di cordelle di seta
445,fabbricatori di fustagno
446,fabricatori
447,fabricatori e falegnami
448,"fabricatori, pipernieri, tagliamonti"
449,fabris lignariis
450,facchini
451,facchini della veneranda compagnia di s. venanzio
452,falegnami
453,falegnami da grosseria
454,falegnami e bottai
455,falegnami e muratori
456,falegnami fini
457,"falegnami, maestri d'ascia, piccapietre, sellai, bastai"
458,farinai
459,farinaioli
460,farinari
461,farinari del mercato
462,farinaroli e granaroli
463,farinotti
464,fellucari
465,"fellucari, pescatori e marinari"
466,fenestreri
467,ferrai
468,ferrari
469,"ferrari (arte piccola e grossa) dei cortellari, spadari, scoppettieri"
470,ferrari e calderari
