occstrng,n
hemmansägare,342506
arbetare,286402
torpare,241072
dräng,165065
drang,149255
jordbruksarbetare,129573
hemmansagare,125968
hemmansegare,103956
arrendator,86892
skomakare,67517
arbetskarl,63130
snickare,59431
sjaman,50958
sjöman,49075
handlande,47675
bonde,47543
hemmansega,47027
statdräng,39863
soldat,39494
smed,36827
jordtorpare,35445
fiskare,33122
skogsarbetare,29735
grovarbetare,29247
statdrang,28128
brukare,26589
skraddare,26455
jordarbetare,23037
husman,22704
skräddare,21459
arba,21220
murare,20912
Åbo,19871
abo,18876
snickeriarbetare,18078
fabriksarbetare,17535
statardrang,17348
stenarbetare,17047
gruvarbetare,16687
hemmansbrukare,16430
backstuguhjon,15656
stenhuggare,15501
sågverksarbetare,15448
dagkarl,14820
stationskarl,14225
timmerman,13801
jordbrukare,13315
bokhallare,13299
jordbruksarba,12085
kusk,11671
backstugusittare,11601
malare,11547
maskinist,11074
järnarbetare,10635
lägenhetsägare,10519
jordägare,10199
bokhållare,9975
lantbrukare,9951
statkarl,9769
handelsbiträde,9427
eldare,9393
bruksarbetare,9155
rattare,8924
målare,8733
artillerist,8137
rättare,7706
husägare,7538
hemaega,7294
skeppare,7250
skomakeriarbetare,7219
trädgårdsmästare,7206
kolare,7060
husagare,7054
typograf,7053
banvaktare,7038
jordegare,6984
filare,6944
bagare,6896
bergsman,6813
jarnarbetare,6649
mjalnare,6598
måleriarbetare,6575
slaktare,6564
student,6531
mjölnare,6387
mureriarbetare,6272
gjutare,6244
Ägare,6205
kontorist,6171
skogvaktare,6129
skoarbetare,6052
landbonde,5977
styrman,5963
smedsarbetare,5882
järnvägsarbetare,5875
husegare,5870
folkskolelärare,5828
byggnadsarbetare,5785
gardist,5731
handelsbitrade,5717
skrädderiarbetare,5668
nybyggare,5403
brädgårdsarbetare,5297
hemaegare,5210
hemmansaga,5181
verkstadsarbetare,5129
urmakare,5122
sadelmakare,5096
bageriarbetare,5067
husar,5016
volontär,4996
gratialist,4944
gjuteriarbetare,4943
torpa,4907
hyttarbetare,4898
banvakt,4895
bryggeriarbetare,4887
